stem,label,rgb_path,ms_path,hs_path
Health_hyper_1,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_1.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_1.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_1.tif
Health_hyper_10,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_10.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_10.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_10.tif
Health_hyper_100,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_100.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_100.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_100.tif
Health_hyper_101,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_101.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_101.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_101.tif
Health_hyper_102,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_102.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_102.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_102.tif
Health_hyper_103,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_103.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_103.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_103.tif
Health_hyper_104,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_104.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_104.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_104.tif
Health_hyper_105,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_105.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_105.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_105.tif
Health_hyper_106,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_106.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_106.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_106.tif
Health_hyper_107,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_107.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_107.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_107.tif
Health_hyper_108,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_108.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_108.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_108.tif
Health_hyper_109,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_109.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_109.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_109.tif
Health_hyper_11,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_11.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_11.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_11.tif
Health_hyper_110,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_110.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_110.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_110.tif
Health_hyper_111,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_111.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_111.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_111.tif
Health_hyper_112,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_112.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_112.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_112.tif
Health_hyper_113,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_113.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_113.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_113.tif
Health_hyper_114,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_114.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_114.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_114.tif
Health_hyper_115,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_115.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_115.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_115.tif
Health_hyper_116,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_116.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_116.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_116.tif
Health_hyper_117,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_117.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_117.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_117.tif
Health_hyper_118,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_118.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_118.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_118.tif
Health_hyper_119,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_119.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_119.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_119.tif
Health_hyper_120,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_120.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_120.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_120.tif
Health_hyper_121,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_121.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_121.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_121.tif
Health_hyper_122,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_122.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_122.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_122.tif
Health_hyper_123,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_123.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_123.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_123.tif
Health_hyper_124,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_124.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_124.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_124.tif
Health_hyper_125,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_125.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_125.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_125.tif
Health_hyper_126,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_126.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_126.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_126.tif
Health_hyper_127,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_127.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_127.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_127.tif
Health_hyper_128,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_128.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_128.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_128.tif
Health_hyper_129,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_129.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_129.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_129.tif
Health_hyper_13,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_13.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_13.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_13.tif
Health_hyper_130,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_130.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_130.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_130.tif
Health_hyper_131,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_131.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_131.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_131.tif
Health_hyper_132,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_132.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_132.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_132.tif
Health_hyper_133,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_133.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_133.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_133.tif
Health_hyper_134,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_134.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_134.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_134.tif
Health_hyper_135,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_135.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_135.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_135.tif
Health_hyper_136,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_136.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_136.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_136.tif
Health_hyper_137,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_137.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_137.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_137.tif
Health_hyper_138,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_138.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_138.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_138.tif
Health_hyper_139,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_139.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_139.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_139.tif
Health_hyper_14,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_14.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_14.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_14.tif
Health_hyper_140,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_140.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_140.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_140.tif
Health_hyper_141,Health,D:\GitHub\AI-for-Agriculture-2026\dataset\train\RGB\Health_hyper_141.png,D:\GitHub\AI-for-Agriculture-2026\dataset\train\MS\Health_hyper_141.tif,D:\GitHub\AI-for-Agriculture-2026\dataset\train\HS\Health_hyper_141.tif
